Lexeme	Alibeglo1	Arkhit1	Arkhit2	Arkhit3	Arkhit4	Arkhit5	Arkhit6	Bezhta1	D_Agul	D_Arabic	D_Avar	D_Azerbaijani	D_Bezhta1	D_Botlikh	D_Chechen	D_Gagatli	D_Georgian	D_Hinuq	D_Karata	D_Kumyk	D_Lezgian	D_Russian	D_Rutul	D_Tabasaran	D_Tsez	Darvag1	Darvag2	Darvag3	Darvag4	Darvag5	Darvag6	Dyubek1	Dyubek2	Dyubek3	Dyubek4	Dzhavgat1	Dzhavgat2	Dzhavgat3	Dzhavgat4	Dzhibakhni1	Dzhibakhni2	Dzhibakhni3	Dzhibakhni4	Helmets1	Helmets2	Helmets3	Ikhrek1	Ikhrek2	Ikhrek3	Ikhrek4	Ilisu1	Karata1	Karata2	Karata3	Karata4	Khapil1	Khapil2	Khapil3	Khapil4	Khapil5	Khiv1	Khiv2	Khiv3	Khiv4	Khlut1	Khlut2	Khlut3	Khlut4	Khlut5	Khoredzh1	Khoredzh2	Khoredzh3	Khoredzh4	Khoredzh5	Khoredzh6	Khutkhul1	Khutkhul2	Khutkhul3	Khutkhul4	Kiche1	Kiche2	Kidero1	Kidero2	Kidero3	Kina1	Kina2	Kina3	Kurag1	Laka1	Laka2	Laka3	Laka4	Laka5	Laka6	Meshabash1	Meshabash2	Mikik1	Mikik2	Qax1	Qax2	Qax3	Qax4	Qax5	Qax6	Qax7	Qax8	Qax9	Qum1	Qum2	Rikvani1	Rutul1	Tad-Magitl1	Tad-Magitl2	Tatil1	Tatil2	Tatil3	Tatil4	Tatil5	Tpig1	Tsinit1	Tsinit2	Tsinit3	Tsinit4	Tsinit5	Tukita1	Yagdyg1	Yagdyg2	Yagdyg3	Yagdyg4	Yagdyg5	Yagdyg6	Yersi1	Yersi2	Yersi3	Yersi4	Zilo1	Zilo2	D_Persian	D_Archi	D_Bezhta2	Tlibisho1	Tlibisho2	Tlibisho3	Tlibisho4	D_Bagvalal	Kusur1
the ant	1	23	23	23	23	23	23	2	6	4 4	20	5	2	14	9	14	1	17	14	13	23	16	8	6	17	5	5	5	5 5	5	5	19	19	10	19	6	6	6	6	6	6	6	6	6	6	6	8	8	8	8	5	14	14	14	14	19	15	19	19	19	6	6	6	6	22	22	NA	22	22	6	6	6	6	6	6	6	6	6	6	8	8	17	17	17	8	8	8	6	6	6	6	6	6	6	1	1	5	5	NA	5	5	1	1	1	5	5	5	NA	NA	14	8	20	11	19	19	19	19	19	6	23	23	23	23	23	11	19	19	19	19	19	19	5	5	5	12	14	14	3	6	2	14	NA	14	14	24	20
the arch	2 5	2	NA	2	1	2	NA	2	1	4	13 3	5	3	3	16	3	5	3	3	14	NA	2	6 1	1	3	2	2 5	2	2 2	2	2	10	2	2	2	2	8	2	2	8	NA	NA	2	5	NA	2	5	2	1	5	5	3	12 3 3	3	15 17	2	2	NA	2	2	1	NA	NA	1	1	1	2	1	NA	2	11	NA	2	NA	2	NA	1	1	1	1	1	2	3	3	9	1	1	1	1	1	1	1	1	1	2 5	2 5	NA	NA	2	5	2	2 5	2 5	2	2 5	5	2	5	5	3	1	NA	3	NA	NA	NA	2	1	1	2	NA	2	2	2	7	NA	2	NA	NA	1 2	5	18	2	2	2	3	3	5	3	3	3	3	3	NA	3	2
the axe/ax	5	13	13	13	13	13	13	4	13	2 6	10	1	4	NA	12	NA	5	14 4	8	1	13	6	1	13	11	1	1	1	1 1	1	1	13	13	13	13	9	9	9	9	9	9	9	9	13	13	13	1	1	1	1	1	8	8	8	8	13	13	13	13	13	13	13 13	13	13	3	3	3	3	3	13	13	13	13	13	13	13	13	13	13	1	1	11	11	11	1	1	1	13	13	13	13	13	13	13	5	5	13	13	1	1	1	6 5	6 5	6 5	1	1	1	13	13	NA	1	8	8	13	13	13	13	13	13	13	13	13	13	13	8	13	13	13	13	13	13	1	1	1	1	1	NA	2 3 6 7	6	4	8	8	8	8	8	NA
the ball	1	2	2	2	2	2	2	10	6 2	3	13	2	NA	8	5	13	1	9 13	12	2	2	11 4	2	2	2	2	2	2 4	2 2	2	2	2	2	2	2	11	11 2	11	11	2	2	2	2	2	2	2	2	2	2	2	2	12	12 12	12	12	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9	9	NA	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1 2	1	2	2	2	2	2	13	2	7	7	2	2	2	2	2	2	2	2	2	2	2	13	2	2	2	2	2	2	2	2	2	2	13	13	2 2	2	4	14	NA	14	14	14	2
the barrel	2	2 3	2	3	2	2 3	2	2	2 3	1	22	13	NA	2	22	NA	4	17	2	2	21	2	NA	3	2	2	2 13	2	2 2 3	3	3	3	3	2 3	3	2	22	2	22	22	22	22	22	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2 3	3	3	2 3	3	3	3	12 20	2	10	2	12	2 3	3	11 15 3	3	3	2 11 15 18 3	2	2 3	2	2	2	2	2	2	16	2	2	2	NA	3	3	3	3	2	3	2	2	19	2	2	2	2	2	2	2	3	2	2	2	14 2	NA	2	NA	2	NA	3	3	3	2	2 3	2	2	3	2	3	2	NA	2 3	3	3	3	2	3	3	3	2	2	3	1 2 3 5 6 7 8 9	NA	NA	NA	22	22	22	22	NA
the bat	5	25	25	25	25	25	25	NA	NA	3	18 24	8	4	18	NA	33	7	21	14	10 16	25	27	35	38 38	26	30	19	30	30 30	19	19	37	NA	37	37	17	17	17	17	17	32	9	34	44	NA	44	25 36	NA	NA	25 36	8	14	14	14	14	38	38	38	38	38	40	40	NA	40	35	35	NA	35	35	38	38	38	38	38	38	13	31	12	27	22	35	26	NA	26	29	29	NA	38	38	38	38	38	38	38	5	5	38	38 42	8	8	8	7	5	7	8	8	8	41	NA	33	NA	NA	NA	38	38	38	38	38	11	25	25	25	25	25	23 43	38	38	38	38	38	39	15	20	NA	15	28	28	1 2 3 6	45	4	45	45	45	45	46	23
the beak	7	22	22	22	33	22	22	5	22	4 4	13	1	5	13	19	13	7	28	34	12 22	22	24	22	16	11	1	1	1	1 1	1	1	14	NA	14	18	NA	35	NA	35	35	35	32	35	11	11	11	22	11 22	22	22	1	34	34	34	34	14	14	26	14	14	16	15	16	16	22	22	NA	22	22	16	16	16	16	16	16	NA	30	32	32	22	22	17	17	11	22	22	22	23	16	16	16	16	16	16	7	7	22	22	1	1	1	9	9	7	1	1	1	22	29	27	22	29	29	14	16	14	14	14	32	22	22	22	22	22	13	14	31	14	14	14	14	1	1	1	20	21	21	2 4 8 10	6	5	34	34	34	NA	36	37
the beard	5 6	14	14	14	14	14	14	1	3	2	12	5	1	12	11	12	6	1 9 10 13	12	5	14	8	3	3	13	5	5	5	5 16	5	5	5	3	3	5	3	3	3	3	3	3	3	3	5	5	5	3	3	3	3	5	12	12	12	12	5	5	5	5	5	3	3	3	3	14	14	14	14	14	3	3	3	3	3	3	3	3	3	3	3	3	10	13	13	3	3	3	3	3	3	3	3	3	3	5	5	5	5	5	5	5	6	5	5	5	5	5	3	NA	12	3	NA	17	5	5	5	5	5	3	14	14	14	14	14	12	5	5	5	5	5	5	5	5	5	5	12	12	15 4 7	3	1	12	12	12	12	NA	12
the beeswax	7	6	2	2	2	2 6	NA	NA	14 2	6	19 18	2	NA	1	9	1	5	18	1	9	2	10	2	14	18	6	6	NA	6	6	6	14	NA	14	14	NA	15	NA	15	15	15	15	12	16	16	16	2	2	2	2	2	1	1	1	1	6	6	6	6	6	14	NA	14	14	2	6	NA	6	2	14	14	14	14	14	14	13	6	2	6	2	2	18	NA	18	2	14	2	2	14	14	14	14	14	14	5	5	16	16	NA	2	2	7	7	7	2	2	2	NA	NA	1	NA	11	11	NA	14	14	17	17	14	2	2 6	2	2	2	18	NA	14	NA	6	6	14	6	2 6	6	NA	1	1	3 2 6	8	NA	1	1	1	1	1	NA
the belt	4	30	30	30	30	30	30	29	30	3	15 24 28 30	6	NA	NA	16	17	4	11 12 17 20 24 30	24	13 6	30	21 8	30	15 30	24	6	6	6	6 6	4	4	30	30	30	30	22	22	22	22	22	22	22	22	19	19	19	18	30	30	18	4	24	24	24	24	30	30	30	30	30	30	30	30	30	30	30	NA	30	30	30	30	30	30	8 30	30	26	30	30	30	30	30	31	12	12	30	30	30	30	30	30	30	30	30	30	4	4	19	19	4 8	4	4	4	4	4	4	4	4 8	14 16 32	4	NA	30	23	23	30	30	30	30	30	30	30	30	30	30	30	24	30	30	30	30	30	30	6	6	6	15	NA	NA	1 2 4 9	5	10	31	NA	31	31	32	NA
the blanket	1 3	1	1	1	3	1	3	3	5	2 5	1 3	3	3	1	1	3	6	1 11	1 3	12 13 13 3	3	1	1 3	5	1 11	3	1	1	1 1 3 3	3	3	5	5 1	5 1	5	3	1 3	1 3	3	3	1 3	1 3	3	1 3	3	3	3	3	3	3	1 3	3	3	3	1	5	1 5	5	5	5	5	5	5	5	3	3	1	3	3	5	1 5	5	5 1	5	5	5	1	5	1	1 3	1 3	11	11	11	3	1	3	1 5	1 5	5	5	5	5 1	1 5	4 7	3	3	1	3	3	3	1 10	1 10	1 3	1 8 3	3	3	1 3	1 3	3	3	14	1	5	5	5	5	5	5	3	NA	3	1 3	3	1 3	NA	5	5	1 5	5	1	3	1 3	3	3	3	NA	9	3	1 3	3	NA	3	3	15 3	1
the blister	4	30	21	30 31	24	30	NA	6	24	5	15 28	9	3 6	16	26	7	1	12 19	16 28	25	8	4	21	21 22 22	7	8	8	8	8 8	18	18	22	22	22	22	4	28	28	28	28	28	28	28	8	NA	8	27	27	27	27	8	28	28	28	28	22	22	22	22	22	22	22	22	22	24	24	NA	24	24	22	22	22	22	22	22	24	29	32	29	14	14	NA	NA	4	NA	NA	29	24	22	22	22	22	20	22	4	4	33	8	NA	8	4 8	4	4	4	2	8	4	4	NA	7	14	17	13	22	22	22	22	22	24	24	NA	8	24	8	4	22	22	22	22	22	22	8	8	8	8	7	16	10	7	3	7	NA	7	7	34	8
the boar	9	6	6	17	17	6	17	15	17	4	12 6	6	NA	12	19	20	NA	NA	12 6	6	17	13 21 6	6 6	10 10	NA	6	2	6	2 6 6	2	2	6 10	10	6	10	18	18	18	18	18	18	18	18	6	6	17	2	2	2	6	2 6	6	6	6	NA	10	10	10	10	10	10	10	10	10	17 6	17	17	17	17	10	10	10	10	10	10	17	14	17	14	2	6	11	11	11	6	2	2	14	10	10	10	10	10	10	9	9	6	6	6	6	2 6	7	7	7	2 6	6	2 6	6	NA	20	6	12	12	10	10	10	10	10	17	17	17 6	17	17	17	6	10	10	10	10	10	10	6	2 6	6	2	NA	20	1 3 5 8	6	9	12	6	12	12	19 6	NA
the body	10	13	13	13	13	13	2 13	16	13	4 5	14 3	2	8	NA	12	3	10	14 14 6 6	6 3	14	2 4 13	17	NA	2 13	11	13	13	13	13 13	13	13	13	13	13	13	18	18 3	18	3	18	18	3	18	2 13	13	13	13	13	13	NA	2	14	3	14	14	13	13	13	13	13	13	13	13	13	2 13	13	13	13 13	2 4 13	13	13	13	13	13	13	13	13	13	13	2	13	6	6	6	2	2	13	13	13	13 13	13	13	13	13	10	10	13	13	2	2 7	2	9 10	10	10	2	2	2	13	NA	NA	13	14	14	13	13	13	13	13	13	13	13	13	13	13	14	13	13	13	13	13	13	13	13	2 13	13 13	NA	NA	1 2 10	3	6 8	14 6	14 6	14	14	14 6	NA
the bottle	5	3	3	3	3	3	3	5	5	8	5	5	5	9	5	NA	1	5	5	5	5	3	5	3	5	5	3	3	3 3	3	3	3	3	3	3	5	5	5	5	5	5	5	5	3	3	5	5	5	5	5	3 5	5	5	5	5	3	3	3 5	3	3	3	3	3	3	5	5	5	NA	5	3	3	3	3	3	3	5	5	3	5	5	5	5	5	5	5	5	5	5	3	3	3	3	3	3 3	3	5	3	3	5	5	3	5	5	5	3 5	5	5	5	5	NA	5	NA	5	NA	3	3	3 5	3	5	5	3 5	3 5	3 5	3	5	3	5	3	3	3	3	5	5	3 5	3 5	NA	NA	2 4 6 7	5	5	5	5	5	5	5	NA
the boundary	11	2	2	16 2	2	2	17 2	14	12 1 20	4	14	2	NA	25	1	1	11	14 14 21 22 22 26	14 28	1	17 2	16 24	2	2 19 2	14	16	16 2	2 31	2 16 18	16	16	1	NA	1	16	16	1	1	1	16	1	1	1	2	2	2	2	2	2	2	2	NA	NA	NA	NA	1	1	27	16 1	1	19	2	19	19 2	2	2	2	2	17 2	19	19	19	19	NA	19	NA	NA	19	16	2	2	14	14	14	2	2	2	29	2	2	2	19	19	2	11	11	15 2	13	2	2	2	11	11	11	2	2	2	2	2	9	2	14	14	1	1	1	1	1	1	2	30	2	2	2	14	1	NA	1	1 2	1	23	2 15	2	16	NA	1	1	3 5 6 7 8 10 11	1	9	14	14 32	14	14	14	2
